"","mse","AUC","bic.tr","bic.TPR","bic.TNR","t","it"
"vari",0.0270105411434607,0,0,0,0,0,0
"oblimin",0.0270105411434607,0,0,0,0,0,0
"quartmin",0.0270105411434607,0,0,0,0,0,0
"simplimax",0.00735895349417771,0,0,0,0,0,0
"geominQ",0.0209333931779115,0,0,0,0,0,0
"promax",0.017959541645829,0,0,0,0,0,0
"irls1",0.00710834231773368,0.947891165322581,0.912984126984127,0.838258064516129,0.985375,0.19148,72.314
"irls0.5",0.00698286915629388,0.944039334677419,0.909746031746032,0.835935483870968,0.98125,0.094308,32.922
"lasso0.01",0.00671682235903663,0.947432217741936,0.912634920634921,0.838322580645161,0.984625,0.494136,332.802
"lasso0.05",0.00898128658475501,0.944398602822581,0.912539682539683,0.838258064516129,0.9845,0.181904,124.25
"lasso0.1",0.0172731158493322,0.933036971774194,0.910222222222222,0.834451612903226,0.983625,0.21139,147.45
"lasso0.2",0.052606314399516,0.855399364919355,0.852222222222222,0.708193548387097,0.99175,0.286918,194.882
"lasso0.5",0.218224537455555,0.5,0.507936507936508,0,1,0.0165760000000001,8.938
"vari",0.0238643406829593,0,0,0,0,0,0
"oblimin",0.0238643406829593,0,0,0,0,0,0
"quartmin",0.0238643406829593,0,0,0,0,0,0
"simplimax",0.00400228024965234,0,0,0,0,0,0
"geominQ",0.0188299202048042,0,0,0,0,0,0
"promax",0.0154630543523512,0,0,0,0,0,0
"irls1",0.00347470809490292,0.966147185483871,0.92784126984127,0.864193548387097,0.9895,0.166268,63.946
"irls0.5",0.00347525296417932,0.960966606854839,0.924507936507937,0.860709677419355,0.9863125,0.103485999999999,34.704
"lasso0.01",0.0033314349633562,0.965717086693548,0.928063492063492,0.864774193548387,0.989375,0.316022,214.304
"lasso0.05",0.00637285363871425,0.96130485483871,0.929015873015873,0.864967741935484,0.9910625,0.0840799999999998,55.07
"lasso0.1",0.0152163914753398,0.943142209677419,0.925650793650794,0.859612903225806,0.989625,0.118666,81.27
"lasso0.2",0.0505177409234078,0.855748544354839,0.85368253968254,0.703612903225806,0.9990625,0.19714,131.386
"lasso0.5",0.218224537455555,0.5,0.507936507936508,0,1,0.0158919999999994,8.854
"vari",0.0223603197136938,0,0,0,0,0,0
"oblimin",0.0223603197136938,0,0,0,0,0,0
"quartmin",0.0223603197136938,0,0,0,0,0,0
"simplimax",0.00223403843272831,0,0,0,0,0,0
"geominQ",0.0181806751044646,0,0,0,0,0,0
"promax",0.0142429199683095,0,0,0,0,0,0
"irls1",0.0017281414275566,0.980115743951613,0.951619047619048,0.908193548387097,0.9936875,0.158184,60.898
"irls0.5",0.00173647938497625,0.976135264112903,0.946857142857143,0.90258064516129,0.98975,0.113128000000001,38.322
"lasso0.01",0.00171819735407748,0.979546760080645,0.951619047619048,0.907870967741935,0.994,0.230390000000001,148.456
"lasso0.05",0.00516252221813453,0.972693358870968,0.951555555555555,0.908129032258065,0.993625,0.0591360000000008,37.452
"lasso0.1",0.0142645276998703,0.949860977822581,0.936698412698413,0.878258064516129,0.9933125,0.0681360000000002,44.124
"lasso0.2",0.0502777029296125,0.848506538306452,0.847460317460317,0.69,1,0.123240000000001,80.824
"lasso0.5",0.218224537455555,0.5,0.507936507936508,0,1,0.0163980000000011,8.876
